Alt,Rto09,Rto11,Rto13,NDVI17,xcoord,ycoord
504.721450,3070.480395,3057.059798,2572.000000,0.798455,316627.31961323,6276249.54552307
504.628250,2871.844848,3717.040098,3413.300000,0.806029,316627.31961323,6276239.54552307
504.532850,2536.459660,3726.018318,2143.000000,0.795188,316627.31961323,6276229.54552307
504.426200,2648.723994,3596.333551,2856.500000,0.796366,316627.31961323,6276219.54552307
504.269700,2809.729415,3342.270746,2491.666667,0.786351,316627.31961323,6276209.54552307
504.077650,3021.755605,3217.076200,2700.000000,0.781215,316627.31961323,6276199.54552307
503.964400,2914.951952,3349.992816,2976.000000,0.804793,316627.31961323,6276189.54552307
503.843850,2739.751562,3726.854474,3346.142857,0.810800,316627.31961323,6276179.54552307
503.731500,2693.139086,3513.732314,3602.857143,0.785066,316627.31961323,6276169.54552307
503.613050,2743.237449,3383.065415,2731.833333,0.753708,316627.31961323,6276159.54552307
503.409950,2696.172200,2570.394830,2989.857143,0.737839,316627.31961323,6276149.54552307
503.167050,2294.113308,2906.397176,3151.714286,0.726879,316627.31961323,6276139.54552307
502.996600,2400.537429,3671.302278,3151.000000,0.712554,316627.31961323,6276129.54552307
502.836500,2278.448290,2647.011823,2877.500000,0.854140,316627.31961323,6276119.54552307
502.702050,2511.237187,2709.771454,3537.000000,0.862206,316627.31961323,6276109.54552307
502.497275,2398.274131,3066.898007,3744.142857,0.844802,316627.31961323,6276099.54552307
502.289400,2527.039357,3657.091796,3781.833333,0.712707,316627.31961323,6276089.54552307
502.133900,2478.038164,3717.851223,3361.000000,0.693328,316627.31961323,6276079.54552307
501.956950,2766.954682,3687.257267,3372.166667,0.684351,316627.31961323,6276069.54552307
501.813850,2767.515054,3799.882356,4129.857143,0.692935,316627.31961323,6276059.54552307
501.617525,2963.763414,3245.031366,4137.000000,0.708824,316627.31961323,6276049.54552307
501.452700,2739.534913,3507.720398,3109.428571,0.674976,316627.31961323,6276039.54552307
501.322350,2214.045468,2940.915141,2541.142857,0.616448,316627.31961323,6276029.54552307
501.157950,1957.217494,1974.229536,2285.500000,0.603363,316627.31961323,6276019.54552307
500.951300,1902.335175,2456.335452,1818.428571,0.603512,316627.31961323,6276009.54552307
500.763250,2134.101929,3225.683041,2999.000000,0.450504,316627.31961323,6275999.54552307
500.626750,1809.102867,3419.261135,2748.285714,0.423561,316627.31961323,6275989.54552307
500.518850,2643.583654,3303.990364,2432.166667,0.433258,316627.31961323,6275979.54552307
