X,Y,Lote,Rto,N,Z
416303.651866534,6304651.28848133,LP08,11030.106,440,1
416305.540014976,6304651.28262984,LP08,11364.149,440,1
416307.437367829,6304651.28794564,LP08,11385,440,1
416309.362717365,6304651.28241502,LP08,11245.957,440,1
416311.269370479,6304651.28781047,LP08,11384.681,440,1
416313.176023584,6304651.29320555,LP08,11348.404,440,1
416315.082676679,6304651.29860025,LP08,11076.277,440,1
416316.979837799,6304651.3260887,LP08,11616.809,440,1
416318.895791161,6304651.33156305,LP08,11368.617,440,1
416320.783747837,6304651.34788309,LP08,11853.936,440,1
416322.671704508,6304651.36420277,LP08,11549.043,440,1
416324.587849521,6304651.34750148,LP08,11545.532,440,1
416326.49450257,6304651.35289393,LP08,11458.404,440,1
416328.41055172,6304651.34727914,LP08,11576.383,440,1
416330.307808641,6304651.36367771,LP08,11629.894,440,1
416332.223666116,6304651.38023668,LP08,11189.149,440,1
416334.121114678,6304651.37445999,LP08,11058.085,440,1
416336.027767684,6304651.37985057,LP08,11428.723,440,1
416337.93432486,6304651.39632803,LP08,11317.234,440,1
416339.831581753,6304651.41272474,LP08,11560.851,440,1
416341.738330554,6304651.40702693,LP08,11498.617,440,1
416343.635587434,6304651.42342289,LP08,11724.149,440,1
416345.551444867,6304651.43997922,LP08,11191.702,440,1
416347.458289447,6304651.42319304,LP08,11249.894,440,1
416349.374242673,6304651.42866135,LP08,11135.213,440,1
416351.280799807,6304651.44513618,LP08,11439.043,440,1
416353.168852182,6304651.45036265,LP08,11046.277,440,1
416355.075409305,6304651.46683673,LP08,11586.596,440,1
416356.972666144,6304651.48323008,LP08,11577.766,440,1
416358.86992298,6304651.49962306,LP08,11433.83,440,1
416360.776671678,6304651.4939215,LP08,11485.745,440,1
416362.683420365,6304651.48821957,LP08,11325,440,1
416364.58077297,6304651.49352418,LP08,11429.255,440,1
416366.496726122,6304651.4989891,LP08,11307.128,440,1
416368.403474774,6304651.49328605,LP08,11286.596,440,1
416370.301018918,6304651.47641501,LP08,11546.489,440,1
416372.207671759,6304651.48179846,LP08,11476.383,440,1
416374.095628256,6304651.49810811,LP08,11718.404,440,1
416376.002185306,6304651.51457807,LP08,11641.17,440,1
416377.908742351,6304651.53104765,LP08,11374.255,440,1
416379.815395165,6304651.53642961,LP08,11284.043,440,1
416381.703447414,6304651.54165051,LP08,11536.064,440,1
416383.601087239,6304651.51368962,LP08,11642.872,440,1
416385.507644255,6304651.53015771,LP08,11101.915,440,1
416387.404900987,6304651.54654509,LP08,11374.574,440,1
416389.302253479,6304651.55184484,LP08,11462.34,440,1
416391.218110756,6304651.56839213,LP08,11366.064,440,1
416393.133968031,6304651.58493904,LP08,11250.638,440,1
416395.022211732,6304651.56798284,LP08,11653.298,440,1
416396.919564189,6304651.5732811,LP08,11555.638,440,1
416398.816820886,6304651.58966625,LP08,11635,440,1
416400.714077579,6304651.60605102,LP08,11537.553,440,1
416402.602129736,6304651.61126785,LP08,11833.085,440,1
416404.499482163,6304651.61656463,LP08,11651.596,440,1
416406.406039116,6304651.6330286,LP08,11623.085,440,1
416408.294282731,6304651.61606981,LP08,11470.957,440,1
416410.200935407,6304651.62144578,LP08,11431.277,440,1
416412.079591506,6304651.63766771,LP08,11580.319,440,1
416413.986244168,6304651.64304293,LP08,11566.064,440,1
416415.883405079,6304651.67051198,LP08,11483.085,440,1
416417.790057728,6304651.67588646,LP08,11439.043,440,1
416419.677918359,6304651.70327447,LP08,11072.34,440,1
416421.593871272,6304651.70872849,LP08,11273.723,440,1
416423.481923344,6304651.71394125,LP08,11562.128,440,1
416425.416476795,6304651.7195551,LP08,11115.851,440,1
416427.295228574,6304651.72468682,LP08,11338.085,440,2
416429.183184904,6304651.74098573,LP08,11410.957,440,2
416431.080632935,6304651.73519004,LP08,11397.553,440,2
416432.987189808,6304651.75164877,LP08,11506.383,440,2
416434.884542108,6304651.75693959,LP08,11350.957,440,2
416436.7818944,6304651.76223004,LP08,11319.787,440,2
416438.669946406,6304651.76743983,LP08,11129.681,440,2
416440.5579027,6304651.78373652,LP08,10788.298,440,2
416442.445858991,6304651.80003283,LP08,10736.702,440,2
416444.343306951,6304651.79423454,LP08,10605.957,440,2
416446.240659203,6304651.79952314,LP08,10811.915,440,2
416448.119315196,6304651.81573807,LP08,10914.255,440,2
416450.016667433,6304651.82102593,LP08,11003.723,440,2
416451.895419107,6304651.82615287,LP08,11067.128,440,2
416453.792675639,6304651.84252724,LP08,10960.319,440,2
416455.690123537,6304651.83672673,LP08,10855.957,440,3
416457.578175462,6304651.84193284,LP08,10572.128,440,3
416459.456927103,6304651.84705832,LP08,10243.83,440,3
416461.344979011,6304651.85226369,LP08,9949.468,440,3
416463.242331187,6304651.85754895,LP08,9944.255,440,3
416465.120987128,6304651.87376059,LP08,9733.191,440,3
416467.00894334,6304651.89005211,LP08,9730.638,440,3
416468.878298993,6304651.90618277,LP08,9492.34,440,4
416470.766350866,6304651.9113863,LP08,9238.191,440,4
416472.663798673,6304651.90558246,LP08,9036.702,440,4
416474.626252741,6304651.91142723,LP08,8734.255,440,4
416476.625812244,6304651.92867982,LP08,7709.255,440,4
416478.634767679,6304651.93492499,LP08,7545.106,440,4
416480.653119038,6304651.93016272,LP08,7314.894,440,4
416482.652774177,6304651.93632682,LP08,7398.298,440,4
416484.689439106,6304651.96498595,LP08,6837.979,440,4
416486.71699506,6304651.97138992,LP08,6318.617,440,4
416488.735155078,6304651.98880048,LP08,6202.66,440,4
416490.753506385,6304651.98403611,LP08,5865,440,4
416492.78106231,6304651.9904388,LP08,5115.532,440,4
416494.799413589,6304651.98567359,LP08,5102.766,440,4
416496.836461047,6304651.96998115,LP08,4588.404,440,4
416498.845416385,6304651.97622212,LP08,4208.617,440,4
416500.882559443,6304651.94944158,LP08,4140.426,440,4
416502.919415584,6304651.95592237,LP08,4475,440,4
416504.956271714,6304651.96240273,LP08,4359.149,440,4
416507.002523738,6304651.95787563,LP08,4281.915,440,4
416509.057884776,6304651.97560281,LP08,4433.936,440,4
416511.094358389,6304652.02643089,LP08,4438.83,440,4
416513.149719421,6304652.0441572,LP08,4173.404,440,4
416515.195780175,6304652.06180287,LP08,4030,440,4
416517.241936538,6304652.06836085,LP08,3972.979,440,4
416519.297297556,6304652.08608586,LP08,3982.128,440,4
416521.352849789,6304652.08163592,LP08,4462.872,440,4
416523.417606675,6304652.088353,LP08,4892.979,440,4
416525.473158883,6304652.08390219,LP08,5382.872,440,4
416527.519315196,6304652.090458,LP08,5450.106,440,4
416529.593372327,6304652.09725395,LP08,5485.319,440,4
416531.658129172,6304652.10396927,LP08,5588.404,440,4
416533.722886009,6304652.11068415,LP08,5982.447,440,4
416535.768851095,6304652.13941273,LP08,6712.447,440,4
416537.814911772,6304652.15705361,LP08,7171.064,440,4
416539.87036831,6304652.163687,LP08,7001.064,440,4
416541.916428976,6304652.18132702,LP08,7327.979,440,4
416543.953476115,6304652.16562467,LP08,7612.766,440,4
416546.036929032,6304652.16141002,LP08,7756.915,440,4
416548.083180831,6304652.15687424,LP08,7696.596,440,4
416550.138541735,6304652.17459269,LP08,8153.191,440,3
416552.193998212,6304652.18122346,LP08,8602.34,440,3
416554.221458279,6304652.19870054,LP08,9118.936,440,3
416556.248918339,6304652.21617719,LP08,8656.915,440,3
416558.28577424,6304652.22264633,LP08,9302.128,440,3
416560.322630131,6304652.22911504,LP08,9304.787,440,3
416562.331489624,6304652.24643009,LP08,9583.298,440,2
416564.368441059,6304652.2418107,LP08,8787.872,440,2
416566.414501638,6304652.25944554,LP08,9912.34,440,2
416568.442248332,6304652.24365788,LP08,9403.936,440,2
416570.478913065,6304652.27229896,LP08,9845.426,440,2
416572.525069176,6304652.27884525,LP08,9765.745,440,2
416574.571320828,6304652.27430386,LP08,9845.426,440,2
416576.626777194,6304652.28092945,LP08,9735.532,440,2
416578.682329095,6304652.27646734,LP08,10004.787,440,2
416580.719184888,6304652.28293176,LP08,9719.894,440,2
