X,Y,ZM,TRATA,BLOQUE,Rto
383407.2158,6285447.844,BP,SPS,1,6331.75358
383411.4154,6285447.904,BP,SPS,1,6593.39629
383415.6149,6285447.963,BP,SPS,1,7134.88294
383419.8145,6285448.022,BP,SPS,1,8065.42093
383424.0141,6285448.082,BP,SPS,1,7803.77822
383428.2137,6285448.141,BP,SPS,1,7537.5852
383432.4133,6285448.2,BP,SPS,1,7497.77001
383436.6128,6285448.26,BP,SPS,1,7553.51128
383440.8124,6285448.319,BP,SPS,1,7807.19095
383445.012,6285448.379,BP,SPS,1,7347.60984
383449.2116,6285448.438,BP,SPS,1,8611.45789
383453.4112,6285448.497,BP,SPS,1,9439.61395
383457.6107,6285448.557,BP,SPS,1,8420.34495
383461.8103,6285448.616,BP,SPS,1,8139.36343
383466.0099,6285448.675,BP,SPS,1,7919.81107
383470.2095,6285448.735,BP,SPS,1,7965.31415
383474.4091,6285448.794,BP,SPS,1,7608.11498
383478.6086,6285448.854,BP,SPS,1,7285.04311
383482.8082,6285448.913,BP,SPS,1,7248.64064
383487.0078,6285448.972,BP,SPS,1,6798.16015
383491.2074,6285449.032,BP,SPS,1,8672.13625
383495.407,6285449.091,BP,SPS,1,9819.56466
383499.6065,6285449.15,BP,SPS,1,8237.58183
383503.8061,6285449.21,BP,SPS,1,6661.65091
383012.5146,6285438.064,AP,TESTIGO,1,8758.1868
383016.7142,6285438.123,AP,TESTIGO,1,10365.40725
383020.9138,6285438.182,AP,TESTIGO,1,6795.21795
383025.1133,6285438.242,AP,TESTIGO,1,9878.37075
383029.3129,6285438.301,AP,TESTIGO,1,9562.157009
383033.5125,6285438.36,AP,TESTIGO,1,9901.6638
383037.7121,6285438.42,AP,TESTIGO,1,10337.8791
383041.9117,6285438.479,AP,TESTIGO,1,10259.52975
383046.1112,6285438.538,AP,TESTIGO,1,9315.10245
383050.3108,6285438.598,AP,TESTIGO,1,10794.21113
383054.5104,6285438.657,AP,TESTIGO,1,10239.41303
383058.71,6285438.717,AP,TESTIGO,1,12749.76855
383062.9096,6285438.776,AP,TESTIGO,1,9531.09255
383067.1091,6285438.835,AP,TESTIGO,1,10447.9917
383071.3087,6285438.895,AP,TESTIGO,1,10426.8162
383075.5083,6285438.954,AP,TESTIGO,1,9890.017275
383079.7079,6285439.013,AP,TESTIGO,1,8761.363125
383083.9075,6285439.073,AP,TESTIGO,1,9149.93355
383088.107,6285439.132,AP,TESTIGO,1,9592.5015
383092.3066,6285439.192,AP,TESTIGO,1,8764.53945
383096.5062,6285439.251,AP,TESTIGO,1,9083.230725
383100.7058,6285439.31,AP,TESTIGO,1,9812.7267
383104.9054,6285439.37,AP,TESTIGO,1,8320.912725
383109.105,6285439.429,AP,TESTIGO,1,10486.1076
383113.3045,6285439.488,AP,TESTIGO,1,9474.977475
383117.5041,6285439.548,AP,TESTIGO,1,10126.1241
383121.7037,6285439.607,AP,TESTIGO,1,10032.9519
383125.9033,6285439.667,AP,TESTIGO,1,10335.76155
383130.1029,6285439.726,AP,TESTIGO,1,8849.24145
383134.3024,6285439.785,AP,TESTIGO,1,9214.878809
383138.502,6285439.845,AP,TESTIGO,1,10263.76485
383142.7016,6285439.904,AP,TESTIGO,1,10328.35013
383146.9012,6285439.963,AP,TESTIGO,1,13272.8034
383151.1008,6285440.023,AP,TESTIGO,1,10026.59925
383155.3003,6285440.082,AP,TESTIGO,1,9957.778875
383159.4999,6285440.142,AP,TESTIGO,1,9057.820125
383163.6995,6285440.201,AP,TESTIGO,1,8470.2
383167.8991,6285440.26,AP,TESTIGO,1,9213.46005
383172.0987,6285440.32,AP,TESTIGO,1,9806.37405
383176.2982,6285440.379,AP,TESTIGO,1,10321.99748
383180.4978,6285440.438,AP,TESTIGO,1,9306.63225
383184.6974,6285440.498,AP,TESTIGO,1,9611.55945
383188.897,6285440.557,AP,TESTIGO,1,8704.549259
383193.0966,6285440.617,AP,TESTIGO,1,7671.88365
383197.2961,6285440.676,AP,TESTIGO,1,8972.05935
383201.4957,6285440.735,AP,TESTIGO,1,9286.515525
383205.6953,6285440.795,AP,TESTIGO,1,7830.6999
383209.8949,6285440.854,AP,TESTIGO,1,10936.08698
383214.0945,6285440.913,AP,TESTIGO,1,9980.01315
383218.294,6285440.973,AP,TESTIGO,1,11093.84445
383222.4936,6285441.032,AP,TESTIGO,1,8436.3192
383226.6932,6285441.092,AP,TESTIGO,1,9398.745675
383230.8928,6285441.151,AP,TESTIGO,1,9776.72835
383235.0924,6285441.21,AP,TESTIGO,1,8506.19835
383239.2919,6285441.27,AP,TESTIGO,1,8254.2099
383243.4915,6285441.329,AP,TESTIGO,1,8523.13875
383247.6911,6285441.388,AP,TESTIGO,1,8796.3027
383251.8907,6285441.448,AP,TESTIGO,1,7498.24455
383256.0903,6285441.507,AP,TESTIGO,1,8659.720725
383260.2898,6285441.567,AP,TESTIGO,1,9317.22
383264.4894,6285441.626,AP,TESTIGO,1,8220.3291
383268.689,6285441.685,AP,TESTIGO,1,9128.75805
383272.8886,6285441.745,AP,TESTIGO,1,7964.10555
383277.0882,6285441.804,AP,TESTIGO,1,7707.882
383281.2877,6285441.863,BP,TESTIGO,1,6946.6785
383285.4873,6285441.923,BP,TESTIGO,1,7292.1735
383289.6869,6285441.982,BP,TESTIGO,1,5726.301
383293.8865,6285442.042,BP,TESTIGO,1,6921.045
383298.0861,6285442.101,BP,TESTIGO,1,7311.12
383302.2856,6285442.16,BP,TESTIGO,1,6378.2835
383306.4852,6285442.22,BP,TESTIGO,1,6499.764
383310.6848,6285442.279,BP,TESTIGO,1,7375.761
383314.8844,6285442.338,BP,TESTIGO,1,7304.433
383319.084,6285442.398,BP,TESTIGO,1,7530.6765
383323.2835,6285442.457,BP,TESTIGO,1,7690.05
383327.4831,6285442.517,BP,TESTIGO,1,8216.094
383331.6827,6285442.576,BP,TESTIGO,1,6811.824
383335.8823,6285442.635,BP,TESTIGO,1,8149.224
383340.0819,6285442.695,BP,TESTIGO,1,7045.869
383344.2814,6285442.754,BP,TESTIGO,1,7639.51857
383348.481,6285442.813,BP,TESTIGO,1,6118.605
383352.6806,6285442.873,BP,TESTIGO,1,6402.8025
383356.8802,6285442.932,BP,TESTIGO,1,7253.166
383361.0798,6285442.992,BP,TESTIGO,1,6591.153
383365.2793,6285443.051,BP,TESTIGO,1,6885.381
383369.4789,6285443.11,BP,TESTIGO,1,6952.251
383373.6785,6285443.17,BP,TESTIGO,1,6801.7935
383377.8781,6285443.229,BP,TESTIGO,1,6675.855
383382.0777,6285443.288,BP,TESTIGO,1,7094.907
383386.2773,6285443.348,BP,TESTIGO,1,6339.276
383390.4768,6285443.407,BP,TESTIGO,1,7016.892
383394.6764,6285443.467,BP,TESTIGO,1,6243.429
383398.876,6285443.526,BP,TESTIGO,1,6552.1455
383403.0756,6285443.585,BP,TESTIGO,1,7794.813
383407.2752,6285443.645,BP,TESTIGO,1,6937.38357
383411.4747,6285443.704,BP,TESTIGO,1,7518.417
383415.6743,6285443.763,BP,TESTIGO,1,7618.722
383419.8739,6285443.823,BP,TESTIGO,1,7025.808
383424.0735,6285443.882,BP,TESTIGO,1,8072.3235
383428.2731,6285443.942,BP,TESTIGO,1,7215.273
383432.4726,6285444.001,BP,TESTIGO,1,7257.624
383436.6722,6285444.06,BP,TESTIGO,1,6506.451
383440.8718,6285444.12,BP,TESTIGO,1,6862.35543
383445.0714,6285444.179,BP,TESTIGO,1,7310.0055
383449.271,6285444.238,BP,TESTIGO,1,7626.5235
383453.4705,6285444.298,BP,TESTIGO,1,8904.855
383457.6701,6285444.357,BP,TESTIGO,1,6887.61
383461.8697,6285444.417,BP,TESTIGO,1,6640.191
383466.0693,6285444.476,BP,TESTIGO,1,7483.48857
